Chord,Positions,Fingers
C,0003,---3
Cm,0333,-123
C7,0001,---1
Cmaj7,0002,---2
Cm7,3333,1111

C#,1114,1114
C#m,110x,12--
C#7,1112,1112
C#maj7,1113,1113
C#m7,1102,12-3

D,2220,123-
Dm,2210,231-
D7,2223,1112
Dmaj7,2224,1113
Dm7,2213,2314

D#,3331,2341
D#m,3321,3421
D#7,3334,1112
D#maj7,3335,1113
D#m7,3324,2314

E,1402,14-2
Em,0432,-321
E7,1202,12-3
Emaj7,1302,13-2
Em7,0202,-2-3

F,2010,2-1-
Fm,1013,1-24
F7,2313,2314
Fmaj7,2413,2413
Fm7,1313,1314

F#,3121,3121
F#m,2120,213-
F#7,3424,2314
F#maj7,3524,2413
F#m7,2424,1314

G,0232,-132
Gm,0231,-231
G7,0212,-213
Gmaj7,0222,-123
Gm7,0211,-211

G#,5343,3121
G#m,4342,3241
G#7,1323,1324
G#maj7,1333,1333
G#m7,1322,1423

A,2100,21--
Am,2000,2---
A7,0100,-1--
Amaj7,1100,12--
Am7,0000,----

A#,3211,3211
A#m,3111,3111
A#7,1211,1211
A#maj7,3210,321-
A#m7,1111,1111

B,4322,3211
Bm,4222,3111
B7,2322,1211
Bmaj7,4321,4321
Bm7,2222,1111
